iEnemyID	strName	strPrefabName	eGimmick	fSpeed	fChaseSpeed	fTurnRate	fHitRange	fGimmickCool	fGimmickValue	fGimmickRange	fGimmickDuration	iGimmickRefID	NONE
;== 몬스터 기믹 테이블 ==	구분자는 반드시 [탭]. Engine.CCSVData가 \t 로만 쪼갠다
;0번 줄이 헤더다. 헤더보다 위에는 아무것도 넣지 말 것 — 주석도 안 된다
;헤더가 NONE인 컬럼은 Engine이 통째로 버린다 → 맨 끝 메모 칸이 그것
;첫 칸이 ; 로 시작하거나 비어 있으면 그 줄은 무시된다
;속도는 초당 셀, fHitRange / fGimmickRange 는 셀 단위
;
;eGimmick 별로 fGimmick* 4칸의 의미가 다르다. 안 쓰는 칸은 0으로 둔다
;  NONE        기믹 없음. 배회하다 플레이어가 나오면 추적만 한다
;  WEB         Cool=설치주기(초)  Value=플레이어 속도배율  Range=미사용  Duration=거미줄 지속(초)
;  PROJECTILE  Cool=발사주기(초)  Value=탄속(셀/초)        Range=사거리(셀)  Duration=탄 수명(초)
;  SPAWN       Cool=소환주기(초)  Value=소환 마리수        Range=미사용  Duration=미사용  RefID=소환할 몬스터 ID
;---	이름	프리팹	기믹	배회속도	추적속도	선회(rad/s)	충돌반경	기믹쿨	기믹수치	기믹사거리	기믹지속	참조ID	메모
101	배회자	Prefab_Enemy	NONE	5	7	5	1.2	0	0	0	0	0	기본. 배회하다 플레이어가 나오면 추적
102	거미	Prefab_Enemy	WEB	4.5	6	4	1.2	3.5	0.5	0	4	0	지나간 자리에 거미줄. 밟으면 속도 절반
103	포수	Prefab_Enemy	PROJECTILE	4	4	3	1.2	2.5	6	12	4	0	사거리 안의 플레이어에게 발사
104	분열체	Prefab_Enemy	SPAWN	4	5.5	4	1.2	8	2	0	0	101	8초마다 배회자 2마리 소환
